lang,author,period,year,title,win_i,win_j,jsd
de,fontane,early,1882,L'Adultera,0,1,0.0042956560996782085
de,fontane,early,1882,L'Adultera,0,2,0.006642045304306778
de,fontane,early,1882,L'Adultera,1,2,0.002509424956764192
de,fontane,middle,1895,Effi_Briest,0,1,0.0016976189571493148
de,fontane,middle,1895,Effi_Briest,0,2,0.001025054741586067
de,fontane,middle,1895,Effi_Briest,1,2,0.0011104230769704894
de,fontane,late,1898,Der_Stechlin,0,1,0.0010520093054949547
de,fontane,late,1898,Der_Stechlin,0,2,0.0008479594201991239
de,fontane,late,1898,Der_Stechlin,1,2,0.0011962631257482455
en,dickens,early,1836,Pickwick_Papers,0,1,0.0012636161934844058
en,dickens,early,1836,Pickwick_Papers,0,2,0.0018806525094711612
en,dickens,early,1836,Pickwick_Papers,1,2,0.0008757907316173442
en,dickens,middle,1850,David_Copperfield,0,1,0.0010058376581299662
en,dickens,middle,1850,David_Copperfield,0,2,0.0008538180624225653
en,dickens,middle,1850,David_Copperfield,1,2,0.0007595656048423952
en,dickens,late,1865,Our_Mutual_Friend,0,1,0.0007863799085553214
en,dickens,late,1865,Our_Mutual_Friend,0,2,0.0009176760798046812
en,dickens,late,1865,Our_Mutual_Friend,1,2,0.0010619902556700332
nl,couperus,early,1889,Eline_Vere,0,1,0.0007960779884763639
nl,couperus,early,1889,Eline_Vere,0,2,0.008722193482934905
nl,couperus,early,1889,Eline_Vere,1,2,0.007880447086693755
nl,couperus,middle,1900,Langs_lijnen,0,1,0.0027321326779399476
nl,couperus,middle,1900,Langs_lijnen,0,2,0.003393974221421772
nl,couperus,middle,1900,Langs_lijnen,1,2,0.0016224152227987479
nl,couperus,late,1917,De_komedianten,0,1,0.0035559369678440267
nl,couperus,late,1917,De_komedianten,0,2,0.0020681049159351787
nl,couperus,late,1917,De_komedianten,1,2,0.0022441116520568035
