lang,author,period,year,title,window,n_tokens,ipi_mean
de,fontane,early,1882,L'Adultera,0,17917,5.333922886452069
de,fontane,early,1882,L'Adultera,1,17917,5.6022852930335425
de,fontane,early,1882,L'Adultera,2,17917,5.674739195230998
de,fontane,middle,1895,Effi_Briest,0,38409,5.383566200931471
de,fontane,middle,1895,Effi_Briest,1,38409,5.316940789473684
de,fontane,middle,1895,Effi_Briest,2,38410,5.40937917222964
de,fontane,late,1898,Der_Stechlin,0,50785,5.360686544725633
de,fontane,late,1898,Der_Stechlin,1,50785,5.463340122199592
de,fontane,late,1898,Der_Stechlin,2,50787,5.4852471580022995
en,dickens,early,1836,Pickwick_Papers,0,122859,5.429446247252172
en,dickens,early,1836,Pickwick_Papers,1,122859,5.145115301885848
en,dickens,early,1836,Pickwick_Papers,2,122860,5.121474838066766
en,dickens,middle,1850,David_Copperfield,0,141778,5.860814015389828
en,dickens,middle,1850,David_Copperfield,1,141778,5.668705306736921
en,dickens,middle,1850,David_Copperfield,2,141780,5.700491539843085
en,dickens,late,1865,Our_Mutual_Friend,0,129902,6.181466327546168
en,dickens,late,1865,Our_Mutual_Friend,1,129902,6.192701699983388
en,dickens,late,1865,Our_Mutual_Friend,2,129902,5.9754578164438
nl,couperus,early,1889,Eline_Vere,0,73674,4.561386288130474
nl,couperus,early,1889,Eline_Vere,1,73674,4.649539877300613
nl,couperus,early,1889,Eline_Vere,2,73675,5.091029350971476
nl,couperus,middle,1900,Langs_lijnen,0,32566,4.838715464657338
nl,couperus,middle,1900,Langs_lijnen,1,32566,4.526396197589543
nl,couperus,middle,1900,Langs_lijnen,2,32568,4.4511970534069984
nl,couperus,late,1917,De_komedianten,0,39625,3.477617002034818
nl,couperus,late,1917,De_komedianten,1,39625,3.006877022653722
nl,couperus,late,1917,De_komedianten,2,39627,3.242291220556745
