lang,author,period,year,title,tau_prev,n,mean_K,alpha,beta,loglik,alpha_marginal,beta_marginal,alpha_ratio,beta_ratio
de,fontane,early,1882,L'Adultera,.,3266,5.20514390691978,1.4028879137024726,6.248369350447831,-8711.684636784023,1.5946881709556726,6.737507016838464,0.8797255408634171,0.9274007930280186
de,fontane,early,1882,L'Adultera,",",4348,5.94871205151794,1.7765773454223779,7.281937248545697,-11482.035039276223,1.5946881709556726,6.737507016838464,1.1140593990596304,1.0808058871547868
de,fontane,early,1882,L'Adultera,!,130,4.861538461538461,1.3886470665812027,5.873675814519754,-338.8362344199666,1.5946881709556726,6.737507016838464,0.8707953641802005,0.8717877101782883
de,fontane,early,1882,L'Adultera,?,222,4.3108108108108105,1.6299576659432073,5.3992888208763326,-533.990499867678,1.5946881709556726,6.737507016838464,1.0221168599792134,0.801377840109459
de,fontane,early,1882,L'Adultera,:,219,3.8995433789954337,1.6843296882125949,4.956200621140459,-501.2464389368518,1.5946881709556726,6.737507016838464,1.0562125680051928,0.7356134262649165
de,fontane,late,1898,Der_Stechlin,.,8859,5.275538999887121,1.5661438412429909,6.425775409027306,-23242.25287601294,1.715581547185677,6.673470813038525,0.9128938486265308,0.9628835712404292
de,fontane,late,1898,Der_Stechlin,",",12936,5.6271645021645025,1.8241426686338085,6.924871753752258,-33256.55887569611,1.715581547185677,6.673470813038525,1.0632794877201963,1.0376716925505316
de,fontane,late,1898,Der_Stechlin,!,156,5.371794871794871,1.7483759083360977,6.6245011930375135,-400.05847731402514,1.715581547185677,6.673470813038525,1.0191155944782795,0.9926620462765289
de,fontane,late,1898,Der_Stechlin,?,658,4.361702127659575,1.8613177803901304,5.501000445716754,-1529.721206764167,1.715581547185677,6.673470813038525,1.0849485898490376,0.8243087592394924
de,fontane,late,1898,Der_Stechlin,;,627,5.910685805422648,2.026120333589154,7.254058781494675,-1592.1241019329018,1.715581547185677,6.673470813038525,1.181010798882105,1.0869994017688376
de,fontane,late,1898,Der_Stechlin,:,433,3.976905311778291,1.4969841961523802,4.991705337636118,-1029.2767716305573,1.715581547185677,6.673470813038525,0.8725811947605204,0.7479923831963722
de,fontane,middle,1895,Effi_Briest,.,6330,4.89478672985782,1.4255150954614668,5.912645378238423,-16507.279784207363,1.669313980862901,6.57503616968933,0.8539526486949988,0.8992567075897615
de,fontane,middle,1895,Effi_Briest,",",10175,5.726584766584766,1.8241964902972834,7.0357681734902355,-26321.929267828986,1.669313980862901,6.57503616968933,1.0927821315881634,1.0700729230851782
de,fontane,middle,1895,Effi_Briest,!,98,5.030612244897959,1.6887450706689382,6.211266362977134,-247.48657125420306,1.669313980862901,6.57503616968933,1.0116401647795419,0.9446740980088959
de,fontane,middle,1895,Effi_Briest,?,566,4.512367491166078,1.7809731900852672,5.6607681552550915,-1344.197842209903,1.669313980862901,6.57503616968933,1.0668892793701084,0.860948595439067
de,fontane,middle,1895,Effi_Briest,;,616,6.017857142857143,2.057107546258277,7.3732314373784416,-1569.378352709918,1.669313980862901,6.57503616968933,1.232307145235145,1.1213978519796988
de,fontane,middle,1895,Effi_Briest,:,301,3.6877076411960132,1.6523395507205305,4.706060026721361,-680.1444209107682,1.669313980862901,6.57503616968933,0.9898314934536185,0.7157466370171652
en,dickens,early,1836,Pickwick_Papers,.,19504,4.582239540607055,1.3508072410397212,5.577296629861902,-49843.10999349814,1.450197203975704,6.356837950824721,0.9314645189885168,0.8773696408508127
en,dickens,early,1836,Pickwick_Papers,",",32625,5.516260536398468,1.491515830688342,6.698175214397027,-87226.85033550266,1.450197203975704,6.356837950824721,1.0284917296760492,1.0536960775487476
en,dickens,early,1836,Pickwick_Papers,!,1526,4.565530799475754,1.6729101496664263,5.713991135783914,-3702.253874600634,1.450197203975704,6.356837950824721,1.1535742484402511,0.898873178770051
en,dickens,early,1836,Pickwick_Papers,?,1899,4.091627172195893,1.891826072931563,5.1949452272894,-4223.793802772107,1.450197203975704,6.356837950824721,1.3045302168181934,0.8172215915328502
en,dickens,early,1836,Pickwick_Papers,;,3471,6.982425813886488,1.6871156356201558,8.413899820654656,-9825.812757662541,1.450197203975704,6.356837950824721,1.1633698030826027,1.3235982867178575
