lang,author,period,year,title,k,hazard_empirical,hazard_weibull
de,fontane,early,1882,L'Adultera,0,0.041697058108436665,0.046609947253618556
de,fontane,early,1882,L'Adultera,1,0.0735760497272612,0.09192736937119061
de,fontane,early,1882,L'Adultera,2,0.10790086265918115,0.12282286147699417
de,fontane,early,1882,L'Adultera,3,0.16316193399846507,0.14802936658052912
de,fontane,early,1882,L'Adultera,4,0.20121056493030082,0.1697999430497762
de,fontane,early,1882,L'Adultera,5,0.2330654420206659,0.18918034926279148
de,fontane,early,1882,L'Adultera,6,0.2410179640718563,0.20676451502130067
de,fontane,early,1882,L'Adultera,7,0.23471400394477318,0.2229304363618202
de,fontane,early,1882,L'Adultera,8,0.2407216494845361,0.23793728979202544
de,fontane,early,1882,L'Adultera,9,0.2240325865580448,0.25197243997283403
de,fontane,early,1882,L'Adultera,10,0.2283464566929134,0.26517681779107793
de,fontane,early,1882,L'Adultera,11,0.24149659863945577,0.27765975357237305
de,fontane,early,1882,L'Adultera,12,0.25112107623318386,0.289508189440277
de,fontane,early,1882,L'Adultera,13,0.2375249500998004,0.3007926823770226
de,fontane,early,1882,L'Adultera,14,0.23821989528795812,0.3115714717965974
de,fontane,early,1882,L'Adultera,15,0.24054982817869416,0.32189332645281277
de,fontane,early,1882,L'Adultera,16,0.23076923076923078,0.33179959225235545
de,fontane,early,1882,L'Adultera,17,0.28823529411764703,0.3413257001542199
de,fontane,early,1882,L'Adultera,18,0.256198347107438,0.35050229923707577
de,fontane,early,1882,L'Adultera,19,0.26666666666666666,0.35935612333416256
de,fontane,late,1898,Der_Stechlin,0,0.0240821327474756,0.03779360339648474
de,fontane,late,1898,Der_Stechlin,1,0.06744880730767566,0.08424392944824444
de,fontane,late,1898,Der_Stechlin,2,0.11888955944477972,0.11940298522529447
de,fontane,late,1898,Der_Stechlin,3,0.16617492096944153,0.14945638462401722
de,fontane,late,1898,Der_Stechlin,4,0.2009983571338304,0.17619922142424194
de,fontane,late,1898,Der_Stechlin,5,0.23993673388691183,0.20051533483194883
de,fontane,late,1898,Der_Stechlin,6,0.2600145666423889,0.22292971713651266
de,fontane,late,1898,Der_Stechlin,7,0.27080989876265465,0.24378914865007928
de,fontane,late,1898,Der_Stechlin,8,0.27015040493636716,0.2633391756742227
de,fontane,late,1898,Der_Stechlin,9,0.26605019815059444,0.28176244884329005
de,fontane,late,1898,Der_Stechlin,10,0.25881929445644347,0.2991999376714185
de,fontane,late,1898,Der_Stechlin,11,0.2593491986401166,0.3157636053273648
de,fontane,late,1898,Der_Stechlin,12,0.260327868852459,0.3315444386562253
de,fontane,late,1898,Der_Stechlin,13,0.23581560283687944,0.3466177773599677
de,fontane,late,1898,Der_Stechlin,14,0.2354988399071926,0.36104698680075464
de,fontane,late,1898,Der_Stechlin,15,0.2731411229135053,0.374886069793957
de,fontane,late,1898,Der_Stechlin,16,0.2630480167014614,0.3881815736440599
de,fontane,late,1898,Der_Stechlin,17,0.254957507082153,0.4009740144396926
de,fontane,late,1898,Der_Stechlin,18,0.24334600760456274,0.4132989618343923
de,fontane,middle,1895,Effi_Briest,0,0.04108149950237753,0.04220283322375873
de,fontane,middle,1895,Effi_Briest,1,0.07040304445597648,0.08974205524422663
de,fontane,middle,1895,Effi_Briest,2,0.11319935491874457,0.12428287241019542
de,fontane,middle,1895,Effi_Briest,3,0.14954186192907604,0.1532536332462483
de,fontane,middle,1895,Effi_Briest,4,0.19787811497656058,0.17871591008105692
de,fontane,middle,1895,Effi_Briest,5,0.24679585768481493,0.20166141158050543
de,fontane,middle,1895,Effi_Briest,6,0.2748434522188946,0.2226687119455153
de,fontane,middle,1895,Effi_Briest,7,0.2733245729303548,0.2421142599103171
de,fontane,middle,1895,Effi_Briest,8,0.27124773960216997,0.2602611154591278
de,fontane,middle,1895,Effi_Briest,9,0.2679900744416873,0.2773026594692979
de,fontane,middle,1895,Effi_Briest,10,0.2513317191283293,0.29338654904084427
de,fontane,middle,1895,Effi_Briest,11,0.259379042690815,0.308628907056712
de,fontane,middle,1895,Effi_Briest,12,0.2689956331877729,0.32312324153649785
de,fontane,middle,1895,Effi_Briest,13,0.2532855436081243,0.33694632218567566
de,fontane,middle,1895,Effi_Briest,14,0.2416,0.35016220305684975
de,fontane,middle,1895,Effi_Briest,15,0.21729957805907174,0.3628250649266753
de,fontane,middle,1895,Effi_Briest,16,0.29380053908355797,0.37498127818415694
de,fontane,middle,1895,Effi_Briest,17,0.2595419847328244,0.3866709346838392
de,fontane,middle,1895,Effi_Briest,18,0.27835051546391754,0.3979290080445431
en,dickens,early,1836,Pickwick_Papers,0,0.000608426709932566,0.06612578307901906
en,dickens,early,1836,Pickwick_Papers,1,0.1827406016944853,0.11176886070076597
en,dickens,early,1836,Pickwick_Papers,2,0.12843751939909367,0.13896721777269483
en,dickens,early,1836,Pickwick_Papers,3,0.21286799620132954,0.15990197952326646
en,dickens,early,1836,Pickwick_Papers,4,0.19008264462809918,0.17730839439536572
en,dickens,early,1836,Pickwick_Papers,5,0.19678236258006854,0.19237971665765863
en,dickens,early,1836,Pickwick_Papers,6,0.199276706231454,0.20576379878748274
en,dickens,early,1836,Pickwick_Papers,7,0.21094383323682686,0.21785833291103596
en,dickens,early,1836,Pickwick_Papers,8,0.22037132164086007,0.22892783695303665
en,dickens,early,1836,Pickwick_Papers,9,0.22740963855421686,0.23915856157589055
en,dickens,early,1836,Pickwick_Papers,10,0.21174463937621832,0.24868736808134362
en,dickens,early,1836,Pickwick_Papers,11,0.22349304482225657,0.25761822633741793
en,dickens,early,1836,Pickwick_Papers,12,0.24164012738853502,0.2660322547333497
en,dickens,early,1836,Pickwick_Papers,13,0.22808398950131234,0.27399414330086125
en,dickens,early,1836,Pickwick_Papers,14,0.23257395443726622,0.2815564333296341
en,dickens,early,1836,Pickwick_Papers,15,0.23836951705804166,0.288762466569747
en,dickens,early,1836,Pickwick_Papers,16,0.22629435718440954,0.29564847626227797
en,dickens,early,1836,Pickwick_Papers,17,0.23383458646616542,0.30224510625242806
en,dickens,early,1836,Pickwick_Papers,18,0.21786064769381747,0.3085785381238272
en,dickens,early,1836,Pickwick_Papers,19,0.21831869510664995,0.3146713430604037
en,dickens,early,1836,Pickwick_Papers,20,0.23113964686998395,0.3205431362231169
en,dickens,late,1865,Our_Mutual_Friend,0,0.0011137890739117732,0.042775288835149694
en,dickens,late,1865,Our_Mutual_Friend,1,0.10057213884877621,0.08193810170937244
en,dickens,late,1865,Our_Mutual_Friend,2,0.11789452291433797,0.1080498063241353
en,dickens,late,1865,Our_Mutual_Friend,3,0.1547092433877062,0.1291846534103055
en,dickens,late,1865,Our_Mutual_Friend,4,0.1877674507345526,0.14736108376254398
en,dickens,late,1865,Our_Mutual_Friend,5,0.17241610738255034,0.16350255502303745
en,dickens,late,1865,Our_Mutual_Friend,6,0.1861568404833347,0.1781280463887044
en,dickens,late,1865,Our_Mutual_Friend,7,0.20128543669971602,0.19156506907413984
en,dickens,late,1865,Our_Mutual_Friend,8,0.19973800761025512,0.2040365873588419
en,dickens,late,1865,Our_Mutual_Friend,9,0.2083560682827968,0.21570279231163259
en,dickens,late,1865,Our_Mutual_Friend,10,0.212189838519102,0.22668351738424097
en,dickens,late,1865,Our_Mutual_Friend,11,0.20634920634920634,0.2370712704317801
en,dickens,late,1865,Our_Mutual_Friend,12,0.21354330708661418,0.24693928895356898
en,dickens,late,1865,Our_Mutual_Friend,13,0.21605927112535042,0.2563467665192014
en,dickens,late,1865,Our_Mutual_Friend,14,0.22094508301404853,0.2653423801174779
